Line Item ($ millions),2023,2024,2025,2026
Net Sales,82006,84039,84284,87032
Cost of products sold,42760,40848,41164,43362
"Selling, general and administrative expense",21112,23305,22669,23922
Indefinite-lived intangible asset impairment,0,1341,0,0
Operating Income,18134,18545,20451,19748
Interest expense,-756,-925,-907,-877
Interest income,307,473,469,430
"Other non-operating income, net",668,668,154,1076
Earnings Before Income Taxes,18353,18761,20167,20377
Income taxes,3615,3787,4102,4233
Net Earnings,14738,14974,16065,16144
Less: Net earnings attrib. to noncontrolling interests,85,95,91,98
Net Earnings Attributable to P&G,14653,14879,15974,16046
Diluted EPS ($),5.9,6.02,6.51,6.62
